"order","family","genus","species","iucn2020_binomial","phylacine_binomial","adult_mass_g","adult_brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non-volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n"
"Chiroptera","Hipposideridae","Asellia","tridens","Asellia tridens","Asellia tridens",10,0.24,56,51.33,NA,730.5,730.5,730.5,796.6,66.1,NA,1,1,365,NA,80.88,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,0,NA,0,NA,1,0,"Afrotropical, Indomalayan, Palearctic",5
"Chiroptera","Hipposideridae","Aselliscus","stoliczkanus","Aselliscus stoliczkanus","Aselliscus stoliczkanus",6.09,0.15,NA,41.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,NA,NA,0,NA,1,0,"Indomalayan, Palearctic",1
"Chiroptera","Hipposideridae","Aselliscus","tricuspidatus","Aselliscus tricuspidatus","Aselliscus tricuspidatus",4.08,0.134,NA,40.5,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,600,0,600,1,NA,0,0,"Australasian",2
"Chiroptera","Molossidae","Austronomus","australis","Austronomus australis","Austronomus australis",36.4,NA,NA,45.11,NA,426.16,273.96,578.36,365,152.2,NA,1,1,NA,4.53,136.98,NA,1825,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,NA,NA,0,NA,0,0,"Australasian",6
"Chiroptera","Molossidae","Austronomus","kuboriensis","Austronomus kuboriensis","Austronomus kuboriensis",31.6,NA,NA,NA,NA,426.16,273.96,578.36,426.16,152.2,NA,1,1,NA,4.53,136.98,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"A",1,0,0,0,1,2800,1900,900,1,NA,0,0,"Australasian",2
"Chiroptera","Vespertilionidae","Baeodon","alleni","Baeodon alleni","Rhogeessa alleni",5.37,NA,NA,32.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,1990,125,1865,0,NA,1,0,"Neotropical",1
"Chiroptera","Vespertilionidae","Baeodon","gracilis","Baeodon gracilis","Rhogeessa gracilis",5.14,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2000,600,1400,0,NA,1,0,"Neotropical",1
"Chiroptera","Emballonuridae","Balantiopteryx","infusca","Balantiopteryx infusca","Balantiopteryx infusca",9.05,NA,53,38.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,1200,150,1050,0,NA,0,0,"Neotropical",2
"Chiroptera","Emballonuridae","Balantiopteryx","io","Balantiopteryx io","Balantiopteryx io",3.97,NA,42.1,37,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.59,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,500,0,500,0,NA,0,0,"Neotropical",2
"Chiroptera","Emballonuridae","Balantiopteryx","plicata","Balantiopteryx plicata","Balantiopteryx plicata",6.57,NA,53,42.23,NA,226.19,226.19,NA,365,138.81,NA,0.99,1,NA,2,58.59,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,1500,0,1500,0,NA,1,0,"Neotropical",3
"Chiroptera","Pteropodidae","Balionycteris","maculata","Balionycteris maculata","Balionycteris maculata",14.43,0.511,66,40.96,1460,730.5,730.5,730.5,865.5,135,NA,1,1.5,NA,3.5,60,NA,NA,NA,NA,1,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,NA,NA,NA,1,NA,1,0,NA,1
"Chiroptera","Pteropodidae","Balionycteris","seimundi","Balionycteris seimundi","Balionycteris maculata",14.43,0.511,66,40.96,1460,730.5,730.5,730.5,865.5,135,NA,1,1.5,NA,3.5,60,NA,NA,NA,NA,1,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ar",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"Chiroptera","Vespertilionidae","Barbastella","barbastellus","Barbastella barbastellus","Barbastella barbastellus",10,0.185,58,38.49,8395,547.875,547.875,NA,NA,NA,NA,2,1,364.75,NA,NA,NA,1825,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2260,0,2260,0,NA,1,1,"Palearctic",4
"Chiroptera","Vespertilionidae","Barbastella","beijingensis","Barbastella beijingensis","Not recognised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chiroptera","Vespertilionidae","Barbastella","darjelingensis","Barbastella darjelingensis","Barbastella leucomelas",10,NA,58,41.49,8395,547.875,547.875,NA,NA,NA,NA,2,1,364.75,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2500,0,2500,NA,NA,NA,NA,NA,4
"Chiroptera","Vespertilionidae","Barbastella","leucomelas","Barbastella leucomelas","Barbastella leucomelas",10,NA,58,41.49,8395,547.875,547.875,NA,NA,NA,NA,2,1,364.75,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2500,0,2500,0,NA,1,0,"Indomalayan, Palearctic",4
"Chiroptera","Vespertilionidae","Bauerus","dubiaquercus","Bauerus dubiaquercus","Bauerus dubiaquercus",22.22,NA,78,53.29,NA,NA,NA,NA,NA,NA,NA,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,80,20,0,80,0,20,0,0,0,0,0,0,0,2,3,"A",1,0,0,0,1,2300,100,2200,0,NA,0,0,"Neotropical",1
