iucn2020_binomial,phylacine_binomial,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Not recognised,Megalocnus zile,Pilosa,149968.5,2174.898655755,156.689576530621,1587.55230500001,100,0,0,1,1,G,4,2,1,0,11338.8573124587,1.24789,1.039223619935,405.368938736215,230.414918209999,122.7001947,909.893823350002,1130.27507601333,3628.99361911744,90.0531616482837,2613.456,25.6847170755857
Megaloglossus azagnyi,Megaloglossus azagnyi,Chiroptera,14.555,3.25,0.6795,61.295,100,0,0,1,1,Ar,1,1,2,0,3089.42107317605,1,2,247.111330288434,124.399474460001,65.9126066799996,250.212177099999,375.40737296,1414.09155006666,2752.33453488993,1509.414,NA
Megaloglossus woermanni,Megaloglossus woermanni,Chiroptera,14.555,3.25,0.6795,61.295,100,0,0,1,1,Ar,1,1,2,0,3089.42107317605,1,2,247.111330288434,124.399474460001,65.9126066799996,250.212177099999,375.40737296,1414.09155006666,2752.33453488993,1509.414,NA
Not recognised,Megalomys audreyae,Rodentia,180,7.5028948333334,2.52530499973612,263.73877,79,5,16,2,4,G,1,1,1,0,1030.58388746952,3.604435,4.07178499999999,52.7386051645701,29.6636595599999,24.88567068,113.45149708,174.28949965,651.292555762124,2229.18737867157,590.959400000572,0.404883512013688
Megalomys desmarestii,Megalomys desmarestii,Rodentia,288,21.2813556166667,3.19898772549033,360,78,6,16,2,4,G,2,1,1,0,1149.9677832995,3.796175,4.01497999999999,55.1897562934951,29.8578882908332,24.45179746,129.69334282,186.966509558572,667.502556334301,2166.06807015942,647.349400000572,0.534529567901613
Not recognised,Megalomys georginae,Rodentia,101,5.39380833333338,1.76909145429132,219.0299875,78,5,17,2,4,G,1,1,1,0,1019.60316665632,3.75314550000002,4.06040999999999,50.9904250436001,25.6882069383332,24.18772176,101.96714184,157.16635598,616.694917795656,1700.60361154448,828.87900000006,0.291313307374576
Megalomys luciae,Megalomys luciae,Rodentia,160,5.33550500000004,1.98826558195014,224.70921,79,5,16,2,4,G,2,1,1,0,1091.958333455,3.78022500000003,4.46653500000001,39.9842360278149,25.8898004049998,24.1376689799999,97.5667654200003,141.6471522,561.213328001,2754.67448074188,964.074550000012,0.386876059499524
Not recognised,Megalonyx jeffersonii,Pilosa,1090350,32366.675203665,667.041998808911,3049.40191500001,100,0,0,1,1,G,3,2,1,0,13505.2697958802,1.12778,0.672397628131,612.427179347199,428.138864733752,270.22663888,1282.25695914,1486.53741475,4339.75944968476,58.895050627716,2481.328,44.1053478341145
Not recognised,Megalotragus priscus,Cetartiodactyla,200000,9606.02613000002,270.688092318143,1851.64324666667,100,0,0,1,1,G,3,2,1,0,8192.65961390406,1.00707833333333,1.28249,281.54999257747,246.298228484584,178.18938393,644.722406333333,826.719756133333,2669.73935734964,1.2733264555339,2040.268,17.6387247752119
Not recognised,Megalovis guangxiensis,Cetartiodactyla,71667.8070299998,3481.0701975,141.97802448648,1490.48298750001,100,0,0,1,1,G,3,2,1,0,7135.79582776395,1.26531,1.33320166666666,269.67875349781,173.41882251,153.25346054,593.032656413333,698.316532466666,2503.80553255843,3.85190973011392,2591.36,11.2645071491967
