"","taxonid","scientific_name","kingdom","phylum","class","order","family","genus","main_common_name","authority","published_year","assessment_date","category","criteria","population_trend","marine_system","freshwater_system","terrestrial_system","assessor","reviewer","aoo_km2","eoo_km2","elevation_upper","elevation_lower","depth_upper","depth_lower","errata_flag","errata_reason","amended_flag","amended_reason","iucn2020_binomial"
"43",2153,"Asellia patrizii","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Asellia","Patrizi's Trident Leaf-nosed Bat","De Beaux, 1931",2017,"2016-08-31","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Monadjem, A., Bergmans, W., Mickleburgh, S. & Hutson, A.M.","Piraccini, R.",NA,"299886",NA,0,NA,NA,NA,NA,NA,NA,"Asellia patrizii"
"44",80221529,"Asellia tridens","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Asellia","Geoffroy's Trident Leaf-nosed Bat"," (É. Geoffroy, 1813)",2017,"2016-08-31","LC",NA,"Stable",FALSE,FALSE,TRUE,"Monadjem, A., Bergmans, W., Mickleburgh, S., Kock, D., Amr, Z.S.S. & Hutson, A.M.","Piraccini, R.",NA,"24073794",NA,0,NA,NA,NA,NA,NA,NA,"Asellia tridens"
"45",214518902,"Aselliscus stoliczkanus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Aselliscus","Stoliczka's Asian Trident Bat","(Dobson, 1871)",2022,"2022-04-05","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"Tu, V., Görföl, T., Furey, N. & Csorba, G.","Waldien, D.L. & Battistoni, A.",NA,NA,2100,20,NA,NA,NA,NA,NA,NA,"Aselliscus stoliczkanus"
"46",2156,"Aselliscus tricuspidatus","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Aselliscus","Trident Leaf-nosed Bat","(Temminck, 1835)",2021,"2020-12-14","LC",NA,"Stable",FALSE,FALSE,TRUE,"Armstrong, K.N.","Pennay, M. & Waldien, D.L.",NA,NA,1400,0,NA,NA,NA,NA,NA,NA,"Aselliscus tricuspidatus"
"47",21313,"Austronomus australis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","MOLOSSIDAE","Austronomus","White-striped Free-tailed Bat","Gray, 1838",2020,"2019-07-29","LC",NA,"Decreasing",FALSE,FALSE,TRUE,"Pennay, M.","Waldien, D.L.",NA,NA,1900,0,NA,NA,NA,NA,NA,NA,"Austronomus australis"
"48",136201,"Austronomus kuboriensis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","MOLOSSIDAE","Austronomus","New Guinea Free-tailed Bat","(McKean &amp; Calaby, 1968)",2021,"2020-12-18","LC",NA,"Stable",FALSE,FALSE,TRUE,"Armstrong, K.N.","Waldien, D.L.",NA,NA,2900,1900,NA,NA,NA,NA,NA,NA,"Austronomus kuboriensis"
"49",19679,"Baeodon alleni","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Baeodon","Allen's Yellow Bat","Thomas, 1892",2019,"2018-07-02","LC",NA,"Stable",FALSE,FALSE,TRUE,"Solari, S.","Battistoni, A.",NA,NA,1990,125,NA,NA,NA,NA,NA,NA,"Baeodon alleni"
"50",19681,"Baeodon gracilis","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","VESPERTILIONIDAE","Baeodon","Slender Yellow Bat","Miller, 1897",2019,"2018-07-03","LC",NA,"Unknown",FALSE,FALSE,TRUE,"Solari, S.","Battistoni, A.",NA,NA,2000,600,NA,NA,NA,NA,NA,NA,"Baeodon gracilis"
"51",2531,"Balantiopteryx infusca","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","EMBALLONURIDAE","Balantiopteryx","Ecuadorian Sac-winged Bat","(Thomas, 1897)",2015,"2014-07-07","VU","B1ab(iii,v)","Decreasing",FALSE,FALSE,TRUE,"Tirira, D.","Solari, S.",NA,"18551",1200,150,NA,NA,TRUE,"Added missing Bibliography references for Álvarez (2002, 2003) which were cited in the text.",NA,NA,"Balantiopteryx infusca"
"52",2532,"Balantiopteryx io","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","EMBALLONURIDAE","Balantiopteryx","Thomas's Sac-winged Bat","Thomas, 1904",2015,"2014-09-11","VU","A2c","Decreasing",FALSE,FALSE,TRUE,"Lim, B.","Solari, S.",NA,NA,500,0,NA,NA,NA,NA,NA,NA,"Balantiopteryx io"
