"litters_per_year_n","Synurbic","adult_body_length_mm","altitude_breadth_m","lower_elevation_m","upper_elevation_m","litter_size_n","island_dwelling","disected_by_mountains","glaciation","det_inv","det_vend","det_vect","det_vfish","det_fruit","det_nect","det_seed","det_diet_breadth_n","adult_forearm_length_mm","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","habitat_breadth_n","foraging_stratum","activity_cycle","biogeographical_realm","adult_mass_g","dphy_invertebrate","dphy_vertebrate","dphy_plant","trophic_level","virus","cites","vcites","zvirus","fam_EMBALLONURIDAE","fam_HIPPOSIDERIDAE","fam_MOLOSSIDAE","fam_MORMOOPIDAE","fam_NATALIDAE","fam_NYCTERIDAE","fam_PHYLLOSTOMIDAE","fam_PTEROPODIDAE","fam_RHINOLOPHIDAE","fam_VESPERTILIONIDAE","dum_virus","dum_zvirus"
NA,NA,53,NA,NA,NA,1,1,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,37561.11,12.63,7.25,9.94,-59.01,-70.06,-64.53,1,99.22,1,0.16,153.74,249.08,1590.33,1771.15,2,"A","1","Neotropical",5.68,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,"0",55,NA,NA,500,NA,0,"1","0",100,0,0,0,0,0,0,1,47,581976.9,12.55,-5.22,3.66,-47.41,-84.42,-65.92,0,4.07,0,0.1,157.02,251.18,1420.81,1663.41,2,"A","1","Neotropical",5.3,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,"0",79,NA,NA,1000,NA,0,"0","0",100,0,0,0,0,0,0,1,54.5,2914021.53,7.02,-5.9,0.56,-46.56,-73.02,-59.79,0,2.92,0,0.11,187.24,254,1506.9,1637.51,2,"A","1","Neotropical",13.62,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,"0",NA,450,0,450,NA,1,"1","0",90,0,0,0,10,0,0,1,45.99,1034172.29,18.65,-8.03,5.3,131.74,107.96,119.85,1,100,4,0.13,239.99,241.82,1651.05,1736.94,3,"A","2","Australasian, Indomalayan",5.25,90,0,10,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,NA,NA,1200,0,1200,NA,0,"0","0",100,0,0,0,0,0,0,1,71,710057.72,24.96,-7.71,8.62,122.27,74,98.13,2,148.63,10,0.09,132.3,254.78,968.07,1541.66,2,"A","2","Indomalayan",36.83,100,0,0,"3",7,1,0,2,"1","0","0","0","0","0","0","0","0","0",1,1
1,NA,85.99,NA,0,NA,1,0,"0","0",100,0,0,0,0,0,0,1,76.15,10699734.93,36.63,1.95,19.29,96.89,-15.95,40.47,0,129.3,1,0.1,70.12,248.6,658.19,1500.84,8,"A","2","Afrotropical, Palearctic",32.49,100,0,0,"3",0,7,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,NA,64,NA,NA,NA,NA,0,"0","0",100,0,0,0,0,0,0,1,44,4061234.83,6,-16.09,-5.04,-34.79,-75.22,-55,0,17.59,0,0.1,170.26,253.4,1402.32,1611.6,2,"A","1","Neotropical",12.8,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
1,NA,79.24,NA,NA,NA,1,0,"0","0",100,0,0,0,0,0,0,1,69.18,1876764.47,-11.11,-25.69,-18.4,151.11,113.65,132.38,0,0.81,0,0.02,53.69,246.16,640.6,1637.6,3,"A","2","Australasian",24.43,100,0,0,"3",0,6,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
NA,NA,40,NA,NA,NA,NA,0,"0","0",100,0,0,0,0,0,0,1,34,170607,-0.31,-3.69,-2,-50.98,-56.87,-53.93,1,2.95,1,0.14,162.68,255.02,1372.34,1629.81,2,"A","2","Neotropical",6.11,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
1,NA,79.24,NA,0,NA,1,0,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,72.5,34968.86,-18.89,-21.12,-20,140.23,138.5,139.37,0,0.27,0,0,37.66,240.67,534.08,1606.03,3,"A","2","Australasian",27.475,100,0,0,"3",0,0,0,0,"1","0","0","0","0","0","0","0","0","0",0,0
