"","tip","cites","vcites"
"405","Lasionycteris_noctivagans",52,20
"406","Lasiurus_atratus",0,0
"407","Lasiurus_blossevillii",3,0
"408","Lasiurus_borealis",46,5
"409","Lasiurus_castaneus",0,0
"410","Lasiurus_cinereus",61,13
"411","Lasiurus_degelidus",0,0
"412","Lasiurus_ebenus",0,0
"413","Lasiurus_ega",7,2
"414","Lasiurus_egregius",0,0
"415","Lasiurus_insularis",0,0
"416","Lasiurus_intermedius",1,0
"417","Lasiurus_minor",0,0
"418","Lasiurus_pfeifferi",0,0
"419","Lasiurus_seminolus",2,0
"420","Lasiurus_varius",0,0
"421","Lasiurus_xanthinus",0,0
"422","Latidens_salimalii",1,0
"423","Lavia_frons",2,0
"424","Leptonycteris_curasoae",20,0
"425","Leptonycteris_nivalis",7,0
"426","Leptonycteris_yerbabuenae",26,0
"427","Lichonycteris_obscura",0,0
"428","Lionycteris_spurrelli",2,0
"429","Lonchophylla_bokermanni",3,0
"430","Lonchophylla_chocoana",0,0
"431","Lonchophylla_concava",1,0
"432","Lonchophylla_dekeyseri",1,0
"433","Lonchophylla_fornicata",0,0
"434","Lonchophylla_handleyi",0,0
"435","Lonchophylla_hesperia",0,0
"436","Lonchophylla_inexpectata",0,0
"437","Lonchophylla_mordax",2,0
"438","Lonchophylla_orcesi",0,0
"439","Lonchophylla_orienticollina",0,0
"440","Lonchophylla_peracchii",0,0
"441","Lonchophylla_robusta",0,0
"442","Lonchophylla_thomasi",0,0
"443","Lonchorhina_aurita",5,0
"444","Lonchorhina_fernandezi",0,0
"445","Lonchorhina_inusitata",0,0
"446","Lonchorhina_marinkellei",0,0
"447","Lonchorhina_orinocensis",0,0
"448","Lophostoma_aequatorialis",0,0
"449","Lophostoma_brasiliense",0,0
"450","Lophostoma_carrikeri",2,0
"451","Lophostoma_evotis",0,0
"452","Lophostoma_kalkoae",0,0
"453","Lophostoma_schulzi",0,0
"454","Lophostoma_silvicolum",5,0
"455","Lophostoma_yasuni",0,0
"456","Macroderma_gigas",16,0
"457","Macroglossus_minimus",6,0
"458","Macroglossus_sobrinus",1,0
"459","Macrophyllum_macrophyllum",4,0
"460","Macrotus_californicus",16,0
"461","Macrotus_waterhousii",16,0
"462","Megaderma_lyra",37,4
"463","Megaderma_spasma",7,1
"464","Megaerops_ecaudatus",2,0
"465","Megaerops_kusnotoi",0,0
"466","Megaerops_niphanae",2,1
"467","Megaerops_wetmorei",0,0
"468","Megaloglossus_azagnyi",1,0
"469","Megaloglossus_woermanni",3,0
"470","Melonycteris_fardoulisi",0,0
"471","Melonycteris_melanops",0,0
"472","Melonycteris_woodfordi",0,0
"473","Mesophylla_macconnelli",0,0
"474","Micronycteris_brosseti",0,0
"475","Micronycteris_buriri",0,0
"476","Micronycteris_giovanniae",0,0
"477","Micronycteris_hirsuta",2,0
"478","Micronycteris_matses",0,0
"479","Micronycteris_megalotis",1,0
"480","Micronycteris_microtis",10,0
"481","Micronycteris_minuta",1,0
"482","Micronycteris_sanborni",1,0
"483","Micronycteris_schmidtorum",1,0
"484","Micronycteris_yatesi",0,0
"485","Micropteropus_intermedius",0,0
"486","Micropteropus_pusillus",8,6
"487","Mimetillus_moloneyi",0,0
"488","Mimon_bennettii",2,0
"489","Mimon_cozumelae",2,0
"490","Mimon_crenulatum",4,0
"491","Mimon_koepckeae",0,0
"492","Miniopterus_aelleni",1,0
"493","Miniopterus_ambohitrensis",1,0
"494","Miniopterus_australis",3,0
"495","Miniopterus_brachytragos",0,0
"496","Miniopterus_egeri",0,0
"497","Miniopterus_fraterculus",0,0
"498","Miniopterus_fuliginosus",29,11
"499","Miniopterus_fuscus",1,1
"500","Miniopterus_gleni",2,0
"501","Miniopterus_griffithsi",0,0
"502","Miniopterus_griveaudi",1,0
"503","Miniopterus_inflatus",6,1
"504","Miniopterus_macrocneme",0,0
"505","Miniopterus_maghrebensis",1,0
"506","Miniopterus_magnater",6,4
"507","Miniopterus_mahafaliensis",0,0
"508","Miniopterus_majori",0,0
"509","Miniopterus_manavi",1,0
"510","Miniopterus_medius",0,0
"511","Miniopterus_minor",2,1
"512","Miniopterus_mossambicus",1,0
"513","Miniopterus_natalensis",12,1
"514","Miniopterus_newtoni",0,0
"515","Miniopterus_oceanensis",0,0
"516","Miniopterus_paululus",0,0
"517","Miniopterus_petersoni",0,0
"518","Miniopterus_pusillus",5,5
"519","Miniopterus_robustior",0,0
"520","Miniopterus_schreibersii",101,30
"521","Miniopterus_shortridgei",0,0
"522","Miniopterus_sororculus",0,0
"523","Miniopterus_tristis",0,0
"524","Mirimiri_acrodonta",0,0
"525","Molossops_aequatorianus",0,0
"526","Molossops_mattogrossensis",0,0
"527","Molossops_neglectus",1,1
"528","Molossops_temminckii",4,0
"529","Molossus_alvarezi",1,0
"530","Molossus_aztecus",0,0
"531","Molossus_barnesi",0,0
"532","Molossus_coibensis",1,0
"533","Molossus_currentium",2,0
"534","Molossus_molossus",101,20
"535","Molossus_pretiosus",1,0
"536","Molossus_rufus",12,2
