"cnames","species","tip","gen","fam","clade","MSW3_sciName_matched","virus","cites","vcites","filter","vfilter","Synurbic","Complete","iucn2020_binomial","adult_mass_g","adult_brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non-volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n"
"Rousettus spinalatus","Rousettus spinalatus","Rousettus_spinalatus","Rousettus","PTEROPODIDAE","Yinpterochiroptera","Rousettus_spinalatus",0,0,0,"drop","drop",0,"yes","Rousettus spinalatus",92.32,NA,NA,85.06,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3.61,NA,NA,1825,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,60,40,0,0,2,1,"Ar",1,0,0,0,1,300,0,300,1,NA,1,0,"Indomalayan",2
"Saccolaimus flaviventris","Saccolaimus flaviventris","Saccolaimus_flaviventris","Saccolaimus","EMBALLONURIDAE","Yangochiroptera","Saccolaimus_flaviventris",17,5,5,"keep","keep",1,"yes","Saccolaimus flaviventris",45.25,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,600,0,600,0,NA,0,0,"Australasian",3
"Saccolaimus mixtus","Saccolaimus mixtus","Saccolaimus_mixtus","Saccolaimus","EMBALLONURIDAE","Yangochiroptera","Saccolaimus_mixtus",0,0,0,"drop","drop",0,"yes","Saccolaimus mixtus",38.29,NA,NA,64.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,0,NA,1,NA,0,0,"Australasian",3
"Saccolaimus peli","Saccolaimus peli","Saccolaimus_peli","Saccolaimus","EMBALLONURIDAE","Yangochiroptera","Saccolaimus_peli",0,0,0,"drop","drop",0,"yes","Saccolaimus peli",53.35,NA,157,89.49,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,NA,0,NA,0,NA,0,0,"Afrotropical",1
"Saccolaimus saccolaimus","Saccolaimus saccolaimus","Saccolaimus_saccolaimus","Saccolaimus","EMBALLONURIDAE","Yangochiroptera","Saccolaimus_saccolaimus",3,0,0,"keep","keep",1,"yes","Saccolaimus saccolaimus",43,0.67,NA,71.24,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,1200,0,1200,1,NA,1,0,"Indomalayan, Oceanian",3
"Saccopteryx antioquensis","Saccopteryx antioquensis","Saccopteryx_antioquensis","Saccopteryx","EMBALLONURIDAE","Yangochiroptera","Saccopteryx_antioquensis",0,0,0,"drop","drop",NA,"yes","Saccopteryx antioquensis",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"A",2,0,0,0,1,1200,650,550,NA,NA,NA,NA,"Neotropical",2
"Saccopteryx bilineata","Saccopteryx bilineata","Saccopteryx_bilineata","Saccopteryx","EMBALLONURIDAE","Yangochiroptera","Saccopteryx_bilineata",2,20,0,"keep","keep",1,"yes","Saccopteryx bilineata",7.9,0.22,67,45.99,2190,365,365,NA,365,NA,NA,0.995,1,NA,3.49,59.995,6.23,894.25,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",2,0,0,0,1,500,NA,NA,0,NA,1,0,"Neotropical",2
"Saccopteryx canescens","Saccopteryx canescens","Saccopteryx_canescens","Saccopteryx","EMBALLONURIDAE","Yangochiroptera","Saccopteryx_canescens",0,0,0,"drop","drop",0,"yes","Saccopteryx canescens",3.41,0.13,40,38,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",2,0,0,0,1,500,NA,NA,0,NA,1,0,"Neotropical",1
"Saccopteryx gymnura","Saccopteryx gymnura","Saccopteryx_gymnura","Saccopteryx","EMBALLONURIDAE","Yangochiroptera","Saccopteryx_gymnura",0,0,0,"drop","drop",NA,"yes","Saccopteryx gymnura",6.11,NA,40,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",2,0,0,0,1,NA,NA,NA,0,NA,0,0,"Neotropical",2
"Saccopteryx leptura","Saccopteryx leptura","Saccopteryx_leptura","Saccopteryx","EMBALLONURIDAE","Yangochiroptera","Saccopteryx_leptura",0,2,0,"keep","drop",0,"yes","Saccopteryx leptura",4.72,0.16,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",2,0,0,0,1,500,NA,NA,NA,NA,NA,NA,"Neotropical",1
"Sauromys petrophilus","Sauromys petrophilus","Sauromys_petrophilus","Sauromys","MOLOSSIDAE","Yangochiroptera","Sauromys_petrophilus",0,1,0,"keep","drop",0,"yes","Sauromys petrophilus",14.25,NA,NA,38.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2000,100,1900,0,NA,1,0,"Afrotropical",3
"Scleronycteris ega","Scleronycteris ega","Scleronycteris_ega","Scleronycteris","PHYLLOSTOMIDAE","Yangochiroptera","Scleronycteris_ega",0,0,0,"drop","drop",NA,"yes","Scleronycteris ega",49.54,NA,57,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,30,0,70,30,0,0,0,0,0,30,40,0,0,3,2,"Ar",1,0,0,0,1,300,100,200,0,NA,0,0,"Neotropical",2
"Scoteanax rueppellii","Scoteanax rueppellii","Scoteanax_rueppellii","Scoteanax","VESPERTILIONIDAE","Yangochiroptera","Scoteanax_rueppellii",0,0,0,"drop","drop",1,"yes","Scoteanax rueppellii",26.41,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,500,0,500,0,NA,0,0,"Australasian",1
