"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","seed","id","id2"
"91",91,0.965554390868856,0.902572523262179,0.96551724137931,0.555555555555556,5779,25000,3,0.001,1,"25000 3 0.001","10"
"92",92,0.972664803167948,0.85632183908046,0.960591133004926,0.537037037037037,5804,25000,3,0.001,2,"25000 3 0.001","10"
"93",93,0.96462846494293,0.892355409596789,0.940886699507389,0.611111111111111,5202,25000,3,0.001,3,"25000 3 0.001","10"
"94",94,0.954617982762637,0.943623426382047,0.970443349753695,0.611111111111111,4659,25000,3,0.001,4,"25000 3 0.001","10"
"95",95,0.966293966922898,0.915800036489692,0.955665024630542,0.5,5835,25000,3,0.001,5,"25000 3 0.001","10"
"96",96,0.964313999534125,0.88405400474366,0.96551724137931,0.574074074074074,5006,25000,3,0.001,6,"25000 3 0.001","10"
"97",97,0.952882599580713,0.936690384966247,0.975369458128079,0.648148148148148,4309,25000,3,0.001,7,"25000 3 0.001","10"
"98",98,0.968390402981598,0.894362342638205,0.950738916256158,0.592592592592593,5895,25000,3,0.001,8,"25000 3 0.001","10"
"99",99,0.974493361285814,0.910600255427842,0.96551724137931,0.537037037037037,7651,25000,3,0.001,9,"25000 3 0.001","10"
"100",100,0.969624970882833,0.913610654989965,0.955665024630542,0.62962962962963,7247,25000,3,0.001,10,"25000 3 0.001","10"
"101",101,0.967249010016306,0.901477832512315,0.970443349753695,0.555555555555556,612,25000,3,0.01,1,"25000 3 0.01","11"
"102",102,0.970894479385045,0.855135924101441,0.96551724137931,0.555555555555556,575,25000,3,0.01,2,"25000 3 0.01","11"
"103",103,0.966588050314465,0.89463601532567,0.940886699507389,0.62962962962963,569,25000,3,0.01,3,"25000 3 0.01","11"
"104",104,0.952212904728628,0.942528735632184,0.970443349753695,0.592592592592593,445,25000,3,0.01,4,"25000 3 0.01","11"
"105",105,0.971890286512928,0.914796569968984,0.955665024630542,0.481481481481481,705,25000,3,0.01,5,"25000 3 0.01","11"
"106",106,0.968116701607268,0.883324210910418,0.960591133004926,0.574074074074074,588,25000,3,0.01,6,"25000 3 0.01","11"
"107",107,0.953924994176567,0.937328954570334,0.980295566502463,0.648148148148148,443,25000,3,0.01,7,"25000 3 0.01","11"
"108",108,0.964273235499651,0.895548257617223,0.955665024630542,0.62962962962963,506,25000,3,0.01,8,"25000 3 0.01","11"
"109",109,0.976083158630328,0.904944353220215,0.96551724137931,0.537037037037037,816,25000,3,0.01,9,"25000 3 0.01","11"
"110",110,0.975395993477755,0.911877394636015,0.960591133004926,0.648148148148148,864,25000,3,0.01,10,"25000 3 0.01","11"
"111",111,0.965956207780107,0.901660280970626,0.970443349753695,0.555555555555556,11696,25000,3,5e-04,1,"25000 3 5e-04","12"
"112",112,0.974039133473096,0.855318372559752,0.960591133004926,0.537037037037037,12286,25000,3,5e-04,2,"25000 3 5e-04","12"
"113",113,0.964593524341952,0.89272030651341,0.940886699507389,0.62962962962963,10448,25000,3,5e-04,3,"25000 3 5e-04","12"
"114",114,0.954530631260191,0.944079547527823,0.970443349753695,0.611111111111111,9282,25000,3,5e-04,4,"25000 3 5e-04","12"
"115",115,0.967039366410436,0.915435139573071,0.955665024630542,0.5,11871,25000,3,5e-04,5,"25000 3 5e-04","12"
"116",116,0.965932914046122,0.884510125889436,0.96551724137931,0.574074074074074,10580,25000,3,5e-04,6,"25000 3 5e-04","12"
