"species","tip","gen","fam","clade","MSW3_sciName_matched","virus","cites","vcites","filter","vfilter","Synurbic","Complete"
"Hipposideros lylei","Hipposideros_lylei","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_lylei",0,0,0,"drop","drop",0,"yes"
"Hipposideros macrobullatus","Hipposideros_macrobullatus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_macrobullatus",0,0,0,"drop","drop",0,"yes"
"Hipposideros madurae","Hipposideros_madurae","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_madurae",0,0,0,"drop","drop",0,"yes"
"Hipposideros maggietaylorae","Hipposideros_maggietaylorae","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_maggietaylorae",0,0,0,"drop","drop",1,"yes"
"Hipposideros marisae","Hipposideros_marisae","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_marisae",0,0,0,"drop","drop",1,"yes"
"Hipposideros megalotis","Hipposideros_megalotis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_megalotis",0,0,0,"drop","drop",1,"yes"
"Hipposideros muscinus","Hipposideros_muscinus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_muscinus",0,0,0,"drop","drop",0,"yes"
"Hipposideros nequam","Hipposideros_nequam","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_nequam",0,0,0,"drop","drop",NA,"yes"
"Hipposideros obscurus","Hipposideros_obscurus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_obscurus",0,0,0,"drop","drop",1,"yes"
"Hipposideros orbiculus","Hipposideros_orbiculus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_orbiculus",0,0,0,"drop","drop",NA,"yes"
"Hipposideros papua","Hipposideros_papua","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_papua",0,0,0,"drop","drop",0,"yes"
"Hipposideros pelingensis","Hipposideros_pelingensis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_pelingensis",0,0,0,"drop","drop",0,"yes"
"Hipposideros pendelburyi","Hipposideros_pendelburyi","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera",NA,0,0,0,"drop","drop",0,"yes"
"Hipposideros pomona","Hipposideros_pomona","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_pomona",135,13,9,"keep","keep",1,"yes"
"Hipposideros pratti","Hipposideros_pratti","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_pratti",49,18,1,"keep","keep",0,"yes"
"Hipposideros pygmaeus","Hipposideros_pygmaeus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_pygmaeus",0,1,0,"keep","drop",0,"yes"
"Hipposideros ridleyi","Hipposideros_ridleyi","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_ridleyi",0,0,0,"drop","drop",1,"yes"
"Hipposideros rotalis","Hipposideros_rotalis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_rotalis",0,0,0,"drop","drop",NA,"yes"
"Hipposideros ruber","Hipposideros_ruber","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_ruber",105,3,3,"keep","keep",1,"yes"
"Hipposideros scutinares","Hipposideros_scutinares","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_scutinares",0,0,0,"drop","drop",0,"yes"
"Hipposideros semoni","Hipposideros_semoni","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_semoni",0,0,0,"drop","drop",1,"yes"
"Hipposideros sorenseni","Hipposideros_sorenseni","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_sorenseni",0,0,0,"drop","drop",0,"yes"
"Hipposideros speoris","Hipposideros_speoris","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_speoris",8,10,0,"keep","keep",1,"yes"
"Hipposideros stenotis","Hipposideros_stenotis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_stenotis",0,0,0,"drop","drop",1,"yes"
"Hipposideros sumbae","Hipposideros_sumbae","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_sumbae",0,0,0,"drop","drop",1,"yes"
"Hipposideros thomensis","Hipposideros_thomensis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_thomensis",0,0,0,"drop","drop",1,"yes"
"Hipposideros turpis","Hipposideros_turpis","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_turpis",4,1,0,"keep","keep",1,"yes"
"Hipposideros vittatus","Hipposideros_vittatus","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_vittatus",15,2,2,"keep","keep",1,"yes"
"Hipposideros wollastoni","Hipposideros_wollastoni","Hipposideros","HIPPOSIDERIDAE","Yinpterochiroptera","Hipposideros_wollastoni",0,0,0,"drop","drop",0,"yes"
"Histiotus alienus","Histiotus_alienus","Histiotus","VESPERTILIONIDAE","Yangochiroptera","Histiotus_alienus",0,0,0,"drop","drop",NA,"yes"
"Histiotus humboldti","Histiotus_humboldti","Histiotus","VESPERTILIONIDAE","Yangochiroptera","Histiotus_humboldti",0,0,0,"drop","drop",NA,"yes"
"Histiotus laephotis","Histiotus_laephotis","Histiotus","VESPERTILIONIDAE","Yangochiroptera","Histiotus_laephotis",0,0,0,"drop","drop",1,"yes"
"Histiotus macrotus","Histiotus_macrotus","Histiotus","VESPERTILIONIDAE","Yangochiroptera","Histiotus_macrotus",23,1,0,"keep","keep",1,"yes"
"Histiotus magellanicus","Histiotus_magellanicus","Histiotus","VESPERTILIONIDAE","Yangochiroptera","Histiotus_magellanicus",0,0,0,"drop","drop",0,"yes"
"Histiotus montanus","Histiotus_montanus","Histiotus","VESPERTILIONIDAE","Yangochiroptera","Histiotus_montanus",8,5,2,"keep","keep",1,"yes"
"Histiotus velatus","Histiotus_velatus","Histiotus","VESPERTILIONIDAE","Yangochiroptera","Histiotus_velatus",11,5,2,"keep","keep",1,"yes"
"Hsunycteris cadenai","Hsunycteris_cadenai","Hsunycteris","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Hsunycteris pattoni","Hsunycteris_pattoni","Hsunycteris","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Hsunycteris thomasi","Hsunycteris_thomasi","Hsunycteris","PHYLLOSTOMIDAE","Yangochiroptera",NA,2,0,0,"keep","keep",0,"yes"
"Hylonycteris underwoodi","Hylonycteris_underwoodi","Hylonycteris","PHYLLOSTOMIDAE","Yangochiroptera","Hylonycteris_underwoodi",0,4,0,"keep","drop",1,"yes"
"Hypsignathus monstrosus","Hypsignathus_monstrosus","Hypsignathus","PTEROPODIDAE","Yinpterochiroptera","Hypsignathus_monstrosus",28,17,13,"keep","keep",0,"yes"
"Hypsugo anchietae","Hypsugo_anchietae","Hypsugo","VESPERTILIONIDAE","Yangochiroptera","Hypsugo_anchietae",0,0,0,"drop","drop",0,"yes"
"Hypsugo bemainty","Hypsugo_bemainty","Hypsugo","VESPERTILIONIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Hypsugo dolichodon","Hypsugo_dolichodon","Hypsugo","VESPERTILIONIDAE","Yangochiroptera",NA,0,1,0,"keep","drop",0,"yes"
"Hypsugo lanzai","Hypsugo_lanzai","Hypsugo","VESPERTILIONIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Ia io","Ia_io","Ia","VESPERTILIONIDAE","Yangochiroptera","Ia_io",28,12,3,"keep","keep",0,"yes"
"Idionycteris phyllotis","Idionycteris_phyllotis","Idionycteris","VESPERTILIONIDAE","Yangochiroptera","Idionycteris_phyllotis",0,0,0,"drop","drop",0,"yes"
"Kerivoula africana","Kerivoula_africana","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_africana",0,0,0,"drop","drop",0,"yes"
"Kerivoula agnella","Kerivoula_agnella","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_agnella",0,0,0,"drop","drop",NA,"yes"
"Kerivoula argentata","Kerivoula_argentata","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_argentata",2,0,0,"keep","keep",0,"yes"
"Kerivoula cuprosa","Kerivoula_cuprosa","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_cuprosa",0,0,0,"drop","drop",0,"yes"
"Kerivoula eriophora","Kerivoula_eriophora","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_eriophora",0,0,0,"drop","drop",NA,"yes"
"Kerivoula flora","Kerivoula_flora","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_flora",0,0,0,"drop","drop",NA,"yes"
"Kerivoula hardwickii","Kerivoula_hardwickii","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_hardwickii",0,7,0,"keep","drop",0,"yes"
"Kerivoula intermedia","Kerivoula_intermedia","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_intermedia",0,0,0,"drop","drop",NA,"yes"
"Kerivoula kachinensis","Kerivoula_kachinensis","Kerivoula","VESPERTILIONIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Kerivoula krauensis","Kerivoula_krauensis","Kerivoula","VESPERTILIONIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Kerivoula lanosa","Kerivoula_lanosa","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_lanosa",0,0,0,"drop","drop",0,"yes"
"Kerivoula lenis","Kerivoula_lenis","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_lenis",0,0,0,"drop","drop",NA,"yes"
"Kerivoula minuta","Kerivoula_minuta","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_minuta",0,0,0,"drop","drop",NA,"yes"
"Kerivoula muscina","Kerivoula_muscina","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_muscina",0,0,0,"drop","drop",0,"yes"
"Kerivoula myrella","Kerivoula_myrella","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_myrella",0,0,0,"drop","drop",NA,"yes"
"Kerivoula papillosa","Kerivoula_papillosa","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_papillosa",0,0,0,"drop","drop",NA,"yes"
"Kerivoula pellucida","Kerivoula_pellucida","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_pellucida",0,1,0,"keep","drop",0,"yes"
"Kerivoula phalaena","Kerivoula_phalaena","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_phalaena",0,0,0,"drop","drop",NA,"yes"
"Kerivoula picta","Kerivoula_picta","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_picta",0,0,0,"drop","drop",1,"yes"
"Kerivoula smithii","Kerivoula_smithii","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_smithii",0,0,0,"drop","drop",NA,"yes"
"Kerivoula titania","Kerivoula_titania","Kerivoula","VESPERTILIONIDAE","Yangochiroptera",NA,4,0,0,"keep","keep",NA,"yes"
"Kerivoula whiteheadi","Kerivoula_whiteheadi","Kerivoula","VESPERTILIONIDAE","Yangochiroptera","Kerivoula_whiteheadi",0,0,0,"drop","drop",0,"yes"
"Laephotis angolensis","Laephotis_angolensis","Laephotis","VESPERTILIONIDAE","Yangochiroptera","Laephotis_angolensis",0,0,0,"drop","drop",NA,"yes"
"Laephotis botswanae","Laephotis_botswanae","Laephotis","VESPERTILIONIDAE","Yangochiroptera","Laephotis_botswanae",0,0,0,"drop","drop",0,"yes"
"Laephotis namibensis","Laephotis_namibensis","Laephotis","VESPERTILIONIDAE","Yangochiroptera","Laephotis_namibensis",0,0,0,"drop","drop",0,"yes"
"Laephotis wintoni","Laephotis_wintoni","Laephotis","VESPERTILIONIDAE","Yangochiroptera","Laephotis_wintoni",0,1,0,"keep","drop",0,"yes"
"Lampronycteris brachyotis","Lampronycteris_brachyotis","Lampronycteris","PHYLLOSTOMIDAE","Yangochiroptera","Lampronycteris_brachyotis",0,1,0,"keep","drop",1,"yes"
"Lasionycteris noctivagans","Lasionycteris_noctivagans","Lasionycteris","VESPERTILIONIDAE","Yangochiroptera","Lasionycteris_noctivagans",186,52,20,"keep","keep",1,"yes"
"Lasiurus atratus","Lasiurus_atratus","Lasiurus","VESPERTILIONIDAE","Yangochiroptera","Lasiurus_atratus",0,0,0,"drop","drop",0,"yes"
"Lasiurus blossevillii","Lasiurus_blossevillii","Lasiurus","VESPERTILIONIDAE","Yangochiroptera","Lasiurus_blossevillii",25,3,0,"keep","keep",0,"yes"
"Lasiurus borealis","Lasiurus_borealis","Lasiurus","VESPERTILIONIDAE","Yangochiroptera","Lasiurus_borealis",224,46,5,"keep","keep",0,"yes"
"Lasiurus castaneus","Lasiurus_castaneus","Lasiurus","VESPERTILIONIDAE","Yangochiroptera","Lasiurus_castaneus",0,0,0,"drop","drop",NA,"yes"
"Lasiurus cinereus","Lasiurus_cinereus","Lasiurus","VESPERTILIONIDAE","Yangochiroptera","Lasiurus_cinereus",231,61,13,"keep","keep",1,"yes"
"Lasiurus degelidus","Lasiurus_degelidus","Lasiurus","VESPERTILIONIDAE","Yangochiroptera","Lasiurus_degelidus",0,0,0,"drop","drop",0,"yes"
"Lasiurus ebenus","Lasiurus_ebenus","Lasiurus","VESPERTILIONIDAE","Yangochiroptera","Lasiurus_ebenus",0,0,0,"drop","drop",NA,"yes"
"Lasiurus ega","Lasiurus_ega","Lasiurus","VESPERTILIONIDAE","Yangochiroptera","Lasiurus_ega",60,7,2,"keep","keep",1,"yes"
"Lasiurus egregius","Lasiurus_egregius","Lasiurus","VESPERTILIONIDAE","Yangochiroptera","Lasiurus_egregius",3,0,0,"keep","keep",NA,"yes"
"Lasiurus insularis","Lasiurus_insularis","Lasiurus","VESPERTILIONIDAE","Yangochiroptera","Lasiurus_insularis",0,0,0,"drop","drop",0,"yes"
"Lasiurus intermedius","Lasiurus_intermedius","Lasiurus","VESPERTILIONIDAE","Yangochiroptera","Lasiurus_intermedius",72,1,0,"keep","keep",0,"yes"
"Lasiurus minor","Lasiurus_minor","Lasiurus","VESPERTILIONIDAE","Yangochiroptera","Lasiurus_minor",0,0,0,"drop","drop",0,"yes"
"Lasiurus pfeifferi","Lasiurus_pfeifferi","Lasiurus","VESPERTILIONIDAE","Yangochiroptera","Lasiurus_pfeifferi",0,0,0,"drop","drop",0,"yes"
"Lasiurus seminolus","Lasiurus_seminolus","Lasiurus","VESPERTILIONIDAE","Yangochiroptera","Lasiurus_seminolus",41,2,0,"keep","keep",0,"yes"
"Lasiurus varius","Lasiurus_varius","Lasiurus","VESPERTILIONIDAE","Yangochiroptera","Lasiurus_varius",0,0,0,"drop","drop",0,"yes"
"Lasiurus xanthinus","Lasiurus_xanthinus","Lasiurus","VESPERTILIONIDAE","Yangochiroptera","Lasiurus_xanthinus",24,0,0,"keep","keep",0,"yes"
"Latidens salimalii","Latidens_salimalii","Latidens","PTEROPODIDAE","Yinpterochiroptera","Latidens_salimalii",0,1,0,"keep","drop",0,"yes"
"Lavia frons","Lavia_frons","Lavia","MEGADERMATIDAE","Yinpterochiroptera","Lavia_frons",0,2,0,"keep","drop",1,"yes"
"Leptonycteris curasoae","Leptonycteris_curasoae","Leptonycteris","PHYLLOSTOMIDAE","Yangochiroptera","Leptonycteris_curasoae",4,20,0,"keep","keep",0,"yes"
"Leptonycteris nivalis","Leptonycteris_nivalis","Leptonycteris","PHYLLOSTOMIDAE","Yangochiroptera","Leptonycteris_nivalis",4,7,0,"keep","keep",1,"yes"
"Leptonycteris yerbabuenae","Leptonycteris_yerbabuenae","Leptonycteris","PHYLLOSTOMIDAE","Yangochiroptera","Leptonycteris_yerbabuenae",0,26,0,"keep","drop",0,"yes"
"Lichonycteris obscura","Lichonycteris_obscura","Lichonycteris","PHYLLOSTOMIDAE","Yangochiroptera","Lichonycteris_obscura",5,0,0,"keep","keep",0,"yes"
"Lionycteris spurrelli","Lionycteris_spurrelli","Lionycteris","PHYLLOSTOMIDAE","Yangochiroptera","Lionycteris_spurrelli",0,2,0,"keep","drop",0,"yes"
"Lonchophylla bokermanni","Lonchophylla_bokermanni","Lonchophylla","PHYLLOSTOMIDAE","Yangochiroptera","Lonchophylla_bokermanni",0,3,0,"keep","drop",1,"yes"
"Lonchophylla chocoana","Lonchophylla_chocoana","Lonchophylla","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Lonchophylla concava","Lonchophylla_concava","Lonchophylla","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,1,0,"keep","drop",1,"yes"
"Lonchophylla dekeyseri","Lonchophylla_dekeyseri","Lonchophylla","PHYLLOSTOMIDAE","Yangochiroptera","Lonchophylla_dekeyseri",0,1,0,"keep","drop",0,"yes"
"Lonchophylla fornicata","Lonchophylla_fornicata","Lonchophylla","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",1,"yes"
"Lonchophylla handleyi","Lonchophylla_handleyi","Lonchophylla","PHYLLOSTOMIDAE","Yangochiroptera","Lonchophylla_handleyi",0,0,0,"drop","drop",0,"yes"
"Lonchophylla hesperia","Lonchophylla_hesperia","Lonchophylla","PHYLLOSTOMIDAE","Yangochiroptera","Lonchophylla_hesperia",0,0,0,"drop","drop",NA,"yes"
"Lonchophylla inexpectata","Lonchophylla_inexpectata","Lonchophylla","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Lonchophylla mordax","Lonchophylla_mordax","Lonchophylla","PHYLLOSTOMIDAE","Yangochiroptera","Lonchophylla_mordax",0,2,0,"keep","drop",0,"yes"
"Lonchophylla orcesi","Lonchophylla_orcesi","Lonchophylla","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Lonchophylla orienticollina","Lonchophylla_orienticollina","Lonchophylla","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Lonchophylla peracchii","Lonchophylla_peracchii","Lonchophylla","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Lonchophylla robusta","Lonchophylla_robusta","Lonchophylla","PHYLLOSTOMIDAE","Yangochiroptera","Lonchophylla_robusta",5,0,0,"keep","keep",0,"yes"
"Lonchophylla thomasi","Lonchophylla_thomasi","Lonchophylla","PHYLLOSTOMIDAE","Yangochiroptera","Lonchophylla_thomasi",0,0,0,"drop","drop",0,"yes"
"Lonchorhina aurita","Lonchorhina_aurita","Lonchorhina","PHYLLOSTOMIDAE","Yangochiroptera","Lonchorhina_aurita",6,5,0,"keep","keep",1,"yes"
"Lonchorhina fernandezi","Lonchorhina_fernandezi","Lonchorhina","PHYLLOSTOMIDAE","Yangochiroptera","Lonchorhina_fernandezi",0,0,0,"drop","drop",0,"yes"
"Lonchorhina inusitata","Lonchorhina_inusitata","Lonchorhina","PHYLLOSTOMIDAE","Yangochiroptera","Lonchorhina_inusitata",0,0,0,"drop","drop",0,"yes"
"Lonchorhina marinkellei","Lonchorhina_marinkellei","Lonchorhina","PHYLLOSTOMIDAE","Yangochiroptera","Lonchorhina_marinkellei",0,0,0,"drop","drop",0,"yes"
"Lonchorhina orinocensis","Lonchorhina_orinocensis","Lonchorhina","PHYLLOSTOMIDAE","Yangochiroptera","Lonchorhina_orinocensis",0,0,0,"drop","drop",0,"yes"
"Lophostoma aequatorialis","Lophostoma_aequatorialis","Lophostoma","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Lophostoma brasiliense","Lophostoma_brasiliense","Lophostoma","PHYLLOSTOMIDAE","Yangochiroptera","Lophostoma_brasiliense",2,0,0,"keep","keep",0,"yes"
"Lophostoma carrikeri","Lophostoma_carrikeri","Lophostoma","PHYLLOSTOMIDAE","Yangochiroptera","Lophostoma_carrikeri",0,2,0,"keep","drop",0,"yes"
"Lophostoma evotis","Lophostoma_evotis","Lophostoma","PHYLLOSTOMIDAE","Yangochiroptera","Lophostoma_evotis",0,0,0,"drop","drop",1,"yes"
"Lophostoma kalkoae","Lophostoma_kalkoae","Lophostoma","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes"
"Lophostoma schulzi","Lophostoma_schulzi","Lophostoma","PHYLLOSTOMIDAE","Yangochiroptera","Lophostoma_schulzi",0,0,0,"drop","drop",NA,"yes"
"Lophostoma silvicolum","Lophostoma_silvicolum","Lophostoma","PHYLLOSTOMIDAE","Yangochiroptera","Lophostoma_silvicolum",5,5,0,"keep","keep",0,"yes"
"Lophostoma yasuni","Lophostoma_yasuni","Lophostoma","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Macroderma gigas","Macroderma_gigas","Macroderma","MEGADERMATIDAE","Yinpterochiroptera","Macroderma_gigas",0,16,0,"keep","drop",1,"yes"
"Macroglossus minimus","Macroglossus_minimus","Macroglossus","PTEROPODIDAE","Yinpterochiroptera","Macroglossus_minimus",9,6,0,"keep","keep",1,"yes"
"Macroglossus sobrinus","Macroglossus_sobrinus","Macroglossus","PTEROPODIDAE","Yinpterochiroptera","Macroglossus_sobrinus",5,1,0,"keep","keep",1,"yes"
"Macrophyllum macrophyllum","Macrophyllum_macrophyllum","Macrophyllum","PHYLLOSTOMIDAE","Yangochiroptera","Macrophyllum_macrophyllum",0,4,0,"keep","drop",1,"yes"
"Macrotus californicus","Macrotus_californicus","Macrotus","PHYLLOSTOMIDAE","Yangochiroptera","Macrotus_californicus",4,16,0,"keep","keep",1,"yes"
"Macrotus waterhousii","Macrotus_waterhousii","Macrotus","PHYLLOSTOMIDAE","Yangochiroptera","Macrotus_waterhousii",0,16,0,"keep","drop",1,"yes"
"Megaderma lyra","Megaderma_lyra","Megaderma","MEGADERMATIDAE","Yinpterochiroptera","Megaderma_lyra",16,37,4,"keep","keep",1,"yes"
"Megaderma spasma","Megaderma_spasma","Megaderma","MEGADERMATIDAE","Yinpterochiroptera","Megaderma_spasma",0,7,1,"keep","keep",1,"yes"
"Megaerops ecaudatus","Megaerops_ecaudatus","Megaerops","PTEROPODIDAE","Yinpterochiroptera","Megaerops_ecaudatus",0,2,0,"keep","drop",NA,"yes"
"Megaerops kusnotoi","Megaerops_kusnotoi","Megaerops","PTEROPODIDAE","Yinpterochiroptera","Megaerops_kusnotoi",5,0,0,"keep","keep",0,"yes"
"Megaerops niphanae","Megaerops_niphanae","Megaerops","PTEROPODIDAE","Yinpterochiroptera","Megaerops_niphanae",4,2,1,"keep","keep",NA,"yes"
"Megaerops wetmorei","Megaerops_wetmorei","Megaerops","PTEROPODIDAE","Yinpterochiroptera","Megaerops_wetmorei",0,0,0,"drop","drop",NA,"yes"
"Megaloglossus azagnyi","Megaloglossus_azagnyi","Megaloglossus","PTEROPODIDAE","Yinpterochiroptera",NA,0,1,0,"keep","drop",1,"yes"
"Megaloglossus woermanni","Megaloglossus_woermanni","Megaloglossus","PTEROPODIDAE","Yinpterochiroptera","Megaloglossus_woermanni",60,3,0,"keep","keep",1,"yes"
"Melonycteris fardoulisi","Melonycteris_fardoulisi","Melonycteris","PTEROPODIDAE","Yinpterochiroptera","Melonycteris_fardoulisi",0,0,0,"drop","drop",0,"yes"
"Melonycteris melanops","Melonycteris_melanops","Melonycteris","PTEROPODIDAE","Yinpterochiroptera","Melonycteris_melanops",0,0,0,"drop","drop",0,"yes"
"Melonycteris woodfordi","Melonycteris_woodfordi","Melonycteris","PTEROPODIDAE","Yinpterochiroptera","Melonycteris_woodfordi",0,0,0,"drop","drop",0,"yes"
"Mesophylla macconnelli","Mesophylla_macconnelli","Mesophylla","PHYLLOSTOMIDAE","Yangochiroptera","Mesophylla_macconnelli",5,0,0,"keep","keep",0,"yes"
"Micronycteris brosseti","Micronycteris_brosseti","Micronycteris","PHYLLOSTOMIDAE","Yangochiroptera","Micronycteris_brosseti",0,0,0,"drop","drop",0,"yes"
"Micronycteris buriri","Micronycteris_buriri","Micronycteris","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",0,"yes"
"Micronycteris giovanniae","Micronycteris_giovanniae","Micronycteris","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Micronycteris hirsuta","Micronycteris_hirsuta","Micronycteris","PHYLLOSTOMIDAE","Yangochiroptera","Micronycteris_hirsuta",0,2,0,"keep","drop",1,"yes"
"Micronycteris matses","Micronycteris_matses","Micronycteris","PHYLLOSTOMIDAE","Yangochiroptera","Micronycteris_matses",0,0,0,"drop","drop",NA,"yes"
"Micronycteris megalotis","Micronycteris_megalotis","Micronycteris","PHYLLOSTOMIDAE","Yangochiroptera","Micronycteris_megalotis",4,1,0,"keep","keep",1,"yes"
"Micronycteris microtis","Micronycteris_microtis","Micronycteris","PHYLLOSTOMIDAE","Yangochiroptera","Micronycteris_microtis",0,10,0,"keep","drop",1,"yes"
"Micronycteris minuta","Micronycteris_minuta","Micronycteris","PHYLLOSTOMIDAE","Yangochiroptera","Micronycteris_minuta",0,1,0,"keep","drop",1,"yes"
"Micronycteris sanborni","Micronycteris_sanborni","Micronycteris","PHYLLOSTOMIDAE","Yangochiroptera","Micronycteris_sanborni",0,1,0,"keep","drop",0,"yes"
"Micronycteris schmidtorum","Micronycteris_schmidtorum","Micronycteris","PHYLLOSTOMIDAE","Yangochiroptera","Micronycteris_schmidtorum",0,1,0,"keep","drop",1,"yes"
"Micronycteris yatesi","Micronycteris_yatesi","Micronycteris","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,"drop","drop",NA,"yes"
"Micropteropus intermedius","Micropteropus_intermedius","Micropteropus","PTEROPODIDAE","Yinpterochiroptera","Micropteropus_intermedius",0,0,0,"drop","drop",0,"yes"
"Micropteropus pusillus","Micropteropus_pusillus","Micropteropus","PTEROPODIDAE","Yinpterochiroptera","Micropteropus_pusillus",88,8,6,"keep","keep",0,"yes"
"Mimetillus moloneyi","Mimetillus_moloneyi","Mimetillus","VESPERTILIONIDAE","Yangochiroptera","Mimetillus_moloneyi",0,0,0,"drop","drop",1,"yes"
"Mimon bennettii","Mimon_bennettii","Mimon","PHYLLOSTOMIDAE","Yangochiroptera","Mimon_bennettii",0,2,0,"keep","drop",0,"yes"
"Mimon cozumelae","Mimon_cozumelae","Mimon","PHYLLOSTOMIDAE","Yangochiroptera","Mimon_cozumelae",0,2,0,"keep","drop",0,"yes"
"Mimon crenulatum","Mimon_crenulatum","Mimon","PHYLLOSTOMIDAE","Yangochiroptera","Mimon_crenulatum",4,4,0,"keep","keep",0,"yes"
"Mimon koepckeae","Mimon_koepckeae","Mimon","PHYLLOSTOMIDAE","Yangochiroptera","Mimon_koepckeae",0,0,0,"drop","drop",NA,"yes"
"Miniopterus aelleni","Miniopterus_aelleni","Miniopterus","MINIOPTERIDAE","Yangochiroptera",NA,0,1,0,"keep","drop",0,"yes"
"Miniopterus ambohitrensis","Miniopterus_ambohitrensis","Miniopterus","MINIOPTERIDAE","Yangochiroptera",NA,1,1,0,"keep","keep",0,"yes"
"Miniopterus australis","Miniopterus_australis","Miniopterus","MINIOPTERIDAE","Yangochiroptera","Miniopterus_australis",7,3,0,"keep","keep",1,"yes"
