"litters_per_year_n","Synurbic","adult_body_length_mm","altitude_breadth_m","lower_elevation_m","upper_elevation_m","litter_size_n","island_dwelling","disected_by_mountains","glaciation","det_inv","det_vend","det_vect","det_vfish","det_fruit","det_nect","det_diet_breadth_n","adult_forearm_length_mm","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","habitat_breadth_n","foraging_stratum","activity_cycle","biogeographical_realm","adult_mass_g","dphy_invertebrate","dphy_vertebrate","dphy_plant","trophic_level","virus","cites","vcites","zvirus","fam_EMBALLONURIDAE","fam_HIPPOSIDERIDAE","fam_MOLOSSIDAE","fam_PHYLLOSTOMIDAE","fam_PTEROPODIDAE","fam_VESPERTILIONIDAE","dum_virus","dum_zvirus"
NA,"1",NA,2000,0,2000,NA,0,"1","0",100,0,0,0,0,0,1,35.99,186129.96,15.59,-0.61,7.48,39.78,36,37.89,20,125.11,28,0.15,82.36,174.69,884.51,1463.93,2,"A","1","Afrotropical",7.2,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"1",NA,1100,0,1100,NA,1,"1","0",100,0,0,0,0,0,1,42.5,219776.44,18.65,5.55,12.1,126.6,119.74,123.17,19,240.89,35,0.09,199.6,241.24,1471.18,1731.81,2,"A","1","Indomalayan",9.6,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"0",NA,2680,20,2700,NA,NA,NA,NA,100,0,0,0,0,0,1,48.5,2289.85,-4.72,-5.25,-4.99,141.97,141.42,141.7,2,3.75,2,0.49,281.74,186,1742.24,1742.24,2,"A","1","Australasian",15.07,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"1",NA,600,0,600,0.99,1,"0","0",100,0,0,0,0,0,1,40.5,300956.24,2.64,-16.59,-6.97,167.83,125.99,146.91,1,15.2,2,0.1,292.15,234.1,1666.66,1682.57,2,"A","1","Australasian",4.08,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"0",NA,NA,NA,NA,NA,0,"1","0",100,0,0,0,0,0,1,41.49,1399537.9,28.75,2.08,15.42,114.6,96.12,105.36,5,167.6,12,0.08,139.23,195.97,1102.58,1327.28,1,"A","1","Indomalayan, Palearctic",6.09,100,0,0,"3",23,12,3,2,"0","1","0","0","0","0",1,1
NA,"0",NA,NA,NA,NA,0.99,1,"1","0",100,0,0,0,0,0,1,43.79,1065065.85,18.65,-10.94,3.85,127.3,95.18,111.24,0,211.81,12,0.12,223.81,248.78,1636.15,1771.76,2,"A","1",NA,8.39,100,0,0,"3",9,6,1,1,"0","1","0","0","0","0",1,1
1,"1",NA,1400,0,1400,0.995,1,"1","0",100,0,0,0,0,0,1,45.99,1626251.7,9.82,-17.82,-4,168.59,95.18,131.89,0,64.92,2,0.13,244.2,240.57,1661.6,1745.71,3,"A","1","Australasian, Indomalayan",8.505,100,0,0,"3",17,2,0,0,"0","1","0","0","0","0",1,0
NA,"0",NA,350,50,400,NA,0,"1","0",100,0,0,0,0,0,1,75.49,200167.27,18.65,5.06,11.85,124.19,98.5,111.34,7,223.72,18,0.08,218.84,247.95,1392.02,1766.37,2,"A","1","Indomalayan",31.08,100,0,0,"3",54,1,1,1,"0","1","0","0","0","0",1,1
1,"1",56,NA,0,NA,1,0,"1","0",100,0,0,0,0,0,1,51.33,13554119.99,36.8,-1.56,17.61,68.42,-17.1,25.65,0,18.64,0,0.11,9.2,236.45,151.4,1341.63,5,"A","1","Afrotropical, Indomalayan, Palearctic",10,100,0,0,"3",0,5,0,0,"0","1","0","0","0","0",0,0
NA,"1",NA,380,0,380,NA,1,"1","0",100,0,0,0,0,0,1,59,319262.26,-0.75,-10.02,-5.39,152.49,130.39,141.44,1,9.42,1,0.1,296.47,226.29,1659.84,1690.03,3,"A","1","Australasian",16.1,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
1,"1",75.99,1000,0,1000,1,0,"0","0",100,0,0,0,0,0,1,64.74,3655886.68,13.44,-6.38,3.52,35.78,-16.82,9.47,0,51.81,1,0.12,149.42,243.95,1326.61,1553.25,1,"A","1","Afrotropical",32.92,100,0,0,"3",23,5,1,0,"0","1","0","0","0","0",1,0
NA,"0",NA,1900,100,2000,NA,0,"1","0",100,0,0,0,0,0,1,84.99,2681527.23,33.99,2.27,18.13,122.13,96.43,109.28,5,264.97,16,0.06,115.17,160.52,1026.42,1143.62,1,"A","1","Indomalayan, Palearctic",84.38,100,0,0,"3",49,18,1,1,"0","1","0","0","0","0",1,1
NA,"1",NA,500,0,500,NA,0,"0","0",100,0,0,0,0,0,1,43.5,2114795.09,9.54,-0.65,4.44,30.21,-13.32,8.44,0,50.09,1,0.1,147.9,247.98,1292.1,1582.27,2,"A","1","Afrotropical",6.7,100,0,0,"3",2,1,0,0,"0","1","0","0","0","0",1,0
NA,"0",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3352.82,-10.17,-10.85,-10.51,162.39,161.25,161.82,13,13,13,0.18,225,257,-999,-999,1,"A","1","Australasian",46.9,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"1",NA,1400,0,1400,NA,0,"0","0",100,0,0,0,0,0,1,49.5,837179.2,11.17,5.61,8.39,4.86,-12.84,-3.98,3,53.15,7,0.11,129.51,263.47,1141.6,1571.73,5,"A","1","Afrotropical",5.49,100,0,0,"3",1,0,0,0,"0","1","0","0","0","0",1,0
NA,"0",NA,750,0,750,NA,1,"0","0",100,0,0,0,0,0,1,45.5,239509.29,-4.84,-9.72,-7.28,147.89,138.45,143.17,1,8.34,1,0.17,268.65,226.75,1636.57,1664.98,1,"A","1","Australasian",14.09,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
1,"1",54.99,NA,NA,NA,0.995,0,"1","0",100,0,0,0,0,0,1,46.5,13549718.44,35.92,-32.97,1.47,52.22,-17.53,17.34,0,39.87,1,0.14,88.43,234.64,906.32,1532.23,2,"A","1",NA,9.46,100,0,0,"3",317,8,3,7,"0","1","0","0","0","0",1,1
NA,"0",NA,1418,62,1480,0.98,NA,NA,NA,100,0,0,0,0,0,1,34.92,1962284.84,32.47,-7.01,12.73,122,70.81,96.41,1,166.79,9,0.09,167.22,228.29,1146.79,1481.11,2,"A","1","Indomalayan",3.84,100,0,0,"3",25,1,1,1,"0","1","0","0","0","0",1,1
NA,"0",NA,1000,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42857.48,-6.22,-7.78,-7,110.63,106.02,108.33,270,1055.21,444,0.06,215.54,245.4,1538.94,1708.62,2,"A","1","Indomalayan",20.2,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,NA,NA,500,0,500,NA,0,"0","0",100,0,0,0,0,0,1,75,336169.3,5.29,-1.22,2.03,35.97,9.02,22.49,1,43.65,2,0.14,148.83,232.62,1441.11,1602.42,1,"A","1","Afrotropical",58.98,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,1,46.5,1063.57,9.82,9.37,9.6,125.7,125.39,125.54,103,161.46,103,0.07,281,220,-999,-999,2,"A","1","Indomalayan",15,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
NA,"0",NA,NA,NA,NA,NA,1,"0","0",100,0,0,0,0,0,1,53,2636.06,1.45,0.88,1.16,110.78,110.22,110.5,28,38.24,28,0.1,280.74,251.25,1605.5,1605.5,NA,"A","1","Indomalayan",21.82,100,0,0,"3",0,0,0,0,"0","1","0","0","0","0",0,0
