"","tip","species","gen","fam","clade","MSW3_sciName_matched","virus","cites","vcites","Synurbic","filter","vfilter"
"102","Choeroniscus_godmani","Choeroniscus godmani","Choeroniscus","PHYLLOSTOMIDAE","Yangochiroptera","Choeroniscus_godmani",0,2,1,NA,"keep","keep"
"103","Choeroniscus_minor","Choeroniscus minor","Choeroniscus","PHYLLOSTOMIDAE","Yangochiroptera","Choeroniscus_minor",0,1,0,NA,"keep","drop"
"104","Choeroniscus_periosus","Choeroniscus periosus","Choeroniscus","PHYLLOSTOMIDAE","Yangochiroptera","Choeroniscus_periosus",0,0,0,NA,"drop","drop"
"105","Choeronycteris_mexicana","Choeronycteris mexicana","Choeronycteris","PHYLLOSTOMIDAE","Yangochiroptera","Choeronycteris_mexicana",0,10,0,NA,"keep","drop"
"106","Chrotopterus_auritus","Chrotopterus auritus","Chrotopterus","PHYLLOSTOMIDAE","Yangochiroptera","Chrotopterus_auritus",4,7,0,0,"keep","keep"
"107","Cistugo_lesueuri","Cistugo lesueuri","Cistugo","VESPERTILIONIDAE","Yangochiroptera","Cistugo_lesueuri",0,1,0,NA,"keep","drop"
"108","Cistugo_seabrae","Cistugo seabrae","Cistugo","VESPERTILIONIDAE","Yangochiroptera","Cistugo_seabrae",0,0,0,NA,"drop","drop"
"109","Cloeotis_percivali","Cloeotis percivali","Cloeotis","HIPPOSIDERIDAE","Yinpterochiroptera","Cloeotis_percivali",0,0,0,NA,"drop","drop"
"110","Coelops_frithii","Coelops frithii","Coelops","HIPPOSIDERIDAE","Yinpterochiroptera","Coelops_frithii",0,1,0,NA,"keep","drop"
"111","Coelops_hirsutus","Coelops hirsutus","Coelops","HIPPOSIDERIDAE","Yinpterochiroptera",NA,0,0,0,NA,"drop","drop"
"112","Coelops_robinsoni","Coelops robinsoni","Coelops","HIPPOSIDERIDAE","Yinpterochiroptera","Coelops_robinsoni",0,0,0,NA,"drop","drop"
"113","Coleura_afra","Coleura afra","Coleura","EMBALLONURIDAE","Yangochiroptera","Coleura_afra",35,4,1,NA,"keep","keep"
"114","Coleura_kibomalandy","Coleura kibomalandy","Coleura","EMBALLONURIDAE","Yangochiroptera",NA,3,0,0,NA,"keep","keep"
"115","Coleura_seychellensis","Coleura seychellensis","Coleura","EMBALLONURIDAE","Yangochiroptera","Coleura_seychellensis",0,0,0,NA,"drop","drop"
"116","Cormura_brevirostris","Cormura brevirostris","Cormura","EMBALLONURIDAE","Yangochiroptera","Cormura_brevirostris",0,3,0,NA,"keep","drop"
"117","Corynorhinus_mexicanus","Corynorhinus mexicanus","Corynorhinus","VESPERTILIONIDAE","Yangochiroptera","Corynorhinus_mexicanus",0,5,0,NA,"keep","drop"
"118","Corynorhinus_rafinesquii","Corynorhinus rafinesquii","Corynorhinus","VESPERTILIONIDAE","Yangochiroptera","Corynorhinus_rafinesquii",3,8,1,NA,"keep","keep"
"119","Corynorhinus_townsendii","Corynorhinus townsendii","Corynorhinus","VESPERTILIONIDAE","Yangochiroptera","Corynorhinus_townsendii",15,10,0,NA,"keep","keep"
"120","Craseonycteris_thonglongyai","Craseonycteris thonglongyai","Craseonycteris","CRASEONYCTERIDAE","Yinpterochiroptera","Craseonycteris_thonglongyai",0,1,0,NA,"keep","drop"
"121","Cynomops_abrasus","Cynomops abrasus","Cynomops","MOLOSSIDAE","Yangochiroptera","Cynomops_abrasus",17,2,0,NA,"keep","keep"
"122","Cynomops_greenhalli","Cynomops greenhalli","Cynomops","MOLOSSIDAE","Yangochiroptera","Cynomops_greenhalli",0,0,0,NA,"drop","drop"
"123","Cynomops_mexicanus","Cynomops mexicanus","Cynomops","MOLOSSIDAE","Yangochiroptera","Cynomops_mexicanus",0,0,0,NA,"drop","drop"
"124","Cynomops_paranus","Cynomops paranus","Cynomops","MOLOSSIDAE","Yangochiroptera","Cynomops_paranus",0,0,0,NA,"drop","drop"
"125","Cynomops_planirostris","Cynomops planirostris","Cynomops","MOLOSSIDAE","Yangochiroptera","Cynomops_planirostris",11,3,0,NA,"keep","keep"
"126","Cynopterus_brachyotis","Cynopterus brachyotis","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_brachyotis",64,46,9,NA,"keep","keep"
"127","Cynopterus_horsfieldii","Cynopterus horsfieldii","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_horsfieldii",5,0,0,NA,"keep","keep"
"128","Cynopterus_luzoniensis","Cynopterus luzoniensis","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_luzoniensis",0,0,0,NA,"drop","drop"
"129","Cynopterus_minutus","Cynopterus minutus","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_minutus",0,0,0,NA,"drop","drop"
"130","Cynopterus_nusatenggara","Cynopterus nusatenggara","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_nusatenggara",0,0,0,NA,"drop","drop"
"131","Cynopterus_sphinx","Cynopterus sphinx","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_sphinx",91,73,10,NA,"keep","keep"
"132","Cynopterus_titthaecheilus","Cynopterus titthaecheilus","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_titthaecheilus",0,3,1,NA,"keep","keep"
"133","Cyttarops_alecto","Cyttarops alecto","Cyttarops","EMBALLONURIDAE","Yangochiroptera","Cyttarops_alecto",0,0,0,NA,"drop","drop"
"134","Dermanura_anderseni","Dermanura anderseni","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_anderseni",0,1,0,NA,"keep","drop"
"135","Dermanura_aztecus","Dermanura aztecus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_aztecus",0,0,0,NA,"drop","drop"
"136","Dermanura_bogotensis","Dermanura bogotensis","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,NA,"drop","drop"
"137","Dermanura_cinereus","Dermanura cinereus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_cinereus",13,0,0,NA,"keep","keep"
"138","Dermanura_glaucus","Dermanura glaucus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_glaucus",3,0,0,NA,"keep","keep"
"139","Dermanura_gnomus","Dermanura gnomus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_gnomus",0,0,0,NA,"drop","drop"
"140","Dermanura_incomitatus","Dermanura incomitatus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_incomitatus",0,0,0,NA,"drop","drop"
"141","Dermanura_phaeotis","Dermanura phaeotis","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_phaeotis",32,4,0,NA,"keep","keep"
"142","Dermanura_rava","Dermanura rava","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,NA,"drop","drop"
"143","Dermanura_rosenbergii","Dermanura rosenbergii","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,NA,"drop","drop"
"144","Dermanura_toltecus","Dermanura toltecus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_toltecus",7,0,0,NA,"keep","keep"
"145","Dermanura_watsoni","Dermanura watsoni","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_watsoni",0,2,0,NA,"keep","drop"
"146","Desmalopex_leucopterus","Desmalopex leucopterus","Desmalopex","PTEROPODIDAE","Yinpterochiroptera","Pteropus_leucopterus",0,0,0,NA,"drop","drop"
"147","Desmalopex_microleucopterus","Desmalopex microleucopterus","Desmalopex","PTEROPODIDAE","Yinpterochiroptera",NA,0,0,0,NA,"drop","drop"
"148","Desmodus_draculae","Desmodus draculae","Desmodus","PHYLLOSTOMIDAE","Yangochiroptera",NA,0,0,0,NA,"drop","drop"
