"","species","gen","fam","clade","MSW3_sciName_matched","tip","vfam","Virus","dum_virus","zoo_sp","zfam","dum_zvirus"
"122","Cynomops greenhalli","Cynomops","MOLOSSIDAE","Yangochiroptera","Cynomops_greenhalli","Cynomops_greenhalli",0,0,0,0,0,0
"123","Cynomops mexicanus","Cynomops","MOLOSSIDAE","Yangochiroptera","Cynomops_mexicanus","Cynomops_mexicanus",0,0,0,0,0,0
"124","Cynomops paranus","Cynomops","MOLOSSIDAE","Yangochiroptera","Cynomops_paranus","Cynomops_paranus",0,0,0,0,0,0
"125","Cynomops planirostris","Cynomops","MOLOSSIDAE","Yangochiroptera","Cynomops_planirostris","Cynomops_planirostris",1,1,1,0,0,0
"126","Cynopterus brachyotis","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_brachyotis","Cynopterus_brachyotis",5,13,1,3,2,1
"127","Cynopterus horsfieldii","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_horsfieldii","Cynopterus_horsfieldii",1,1,1,0,0,0
"128","Cynopterus luzoniensis","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_luzoniensis","Cynopterus_luzoniensis",0,0,0,0,0,0
"129","Cynopterus minutus","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_minutus","Cynopterus_minutus",0,0,0,0,0,0
"130","Cynopterus nusatenggara","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_nusatenggara","Cynopterus_nusatenggara",0,0,0,0,0,0
"131","Cynopterus sphinx","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_sphinx","Cynopterus_sphinx",4,9,1,3,2,1
"132","Cynopterus titthaecheilus","Cynopterus","PTEROPODIDAE","Yinpterochiroptera","Cynopterus_titthaecheilus","Cynopterus_titthaecheilus",0,0,0,0,0,0
"133","Cyttarops alecto","Cyttarops","EMBALLONURIDAE","Yangochiroptera","Cyttarops_alecto","Cyttarops_alecto",0,0,0,0,0,0
"134","Dermanura anderseni","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_anderseni","Dermanura_anderseni",0,0,0,0,0,0
"135","Dermanura aztecus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_aztecus","Dermanura_aztecus",0,0,0,0,0,0
"136","Dermanura bogotensis","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera",NA,"Dermanura_bogotensis",0,0,0,0,0,0
"137","Dermanura cinereus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_cinereus","Dermanura_cinereus",1,1,1,0,0,0
"138","Dermanura glaucus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_glaucus","Dermanura_glaucus",1,1,1,0,0,0
"139","Dermanura gnomus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_gnomus","Dermanura_gnomus",0,0,0,0,0,0
"140","Dermanura incomitatus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_incomitatus","Dermanura_incomitatus",0,0,0,0,0,0
"141","Dermanura phaeotis","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_phaeotis","Dermanura_phaeotis",4,6,1,3,2,1
"142","Dermanura rava","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera",NA,"Dermanura_rava",0,0,0,0,0,0
"143","Dermanura rosenbergii","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera",NA,"Dermanura_rosenbergii",0,0,0,0,0,0
"144","Dermanura toltecus","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_toltecus","Dermanura_toltecus",1,1,1,0,0,0
"145","Dermanura watsoni","Dermanura","PHYLLOSTOMIDAE","Yangochiroptera","Artibeus_watsoni","Dermanura_watsoni",0,0,0,0,0,0
"146","Desmalopex leucopterus","Desmalopex","PTEROPODIDAE","Yinpterochiroptera","Pteropus_leucopterus","Desmalopex_leucopterus",0,0,0,0,0,0
"147","Desmalopex microleucopterus","Desmalopex","PTEROPODIDAE","Yinpterochiroptera",NA,"Desmalopex_microleucopterus",0,0,0,0,0,0
"148","Desmodus draculae","Desmodus","PHYLLOSTOMIDAE","Yangochiroptera",NA,"Desmodus_draculae",0,0,0,0,0,0
"149","Desmodus rotundus","Desmodus","PHYLLOSTOMIDAE","Yangochiroptera","Desmodus_rotundus","Desmodus_rotundus",17,41,1,8,7,1
"150","Diaemus youngi","Diaemus","PHYLLOSTOMIDAE","Yangochiroptera","Diaemus_youngi","Diaemus_youngi",6,8,1,4,4,1
"151","Diclidurus albus","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_albus","Diclidurus_albus",1,1,1,1,1,1
"152","Diclidurus ingens","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_ingens","Diclidurus_ingens",0,0,0,0,0,0
"153","Diclidurus isabellus","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_isabellus","Diclidurus_isabellus",0,0,0,0,0,0
"154","Diclidurus scutatus","Diclidurus","EMBALLONURIDAE","Yangochiroptera","Diclidurus_scutatus","Diclidurus_scutatus",0,0,0,0,0,0
"155","Diphylla ecaudata","Diphylla","PHYLLOSTOMIDAE","Yangochiroptera","Diphylla_ecaudata","Diphylla_ecaudata",3,4,1,1,1,1
"156","Dobsonia anderseni","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_anderseni","Dobsonia_anderseni",0,0,0,0,0,0
"157","Dobsonia beauforti","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_beauforti","Dobsonia_beauforti",0,0,0,0,0,0
"158","Dobsonia chapmani","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_chapmani","Dobsonia_chapmani",0,0,0,0,0,0
"159","Dobsonia crenulata","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_crenulata","Dobsonia_crenulata",0,0,0,0,0,0
"160","Dobsonia emersa","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_emersa","Dobsonia_emersa",0,0,0,0,0,0
"161","Dobsonia exoleta","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_exoleta","Dobsonia_exoleta",0,0,0,0,0,0
"162","Dobsonia inermis","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_inermis","Dobsonia_inermis",0,0,0,0,0,0
"163","Dobsonia minor","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_minor","Dobsonia_minor",0,0,0,0,0,0
"164","Dobsonia moluccensis","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_moluccensis","Dobsonia_moluccensis",2,4,1,0,0,0
"165","Dobsonia pannietensis","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_pannietensis","Dobsonia_pannietensis",0,0,0,0,0,0
"166","Dobsonia peronii","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_peronii","Dobsonia_peronii",0,0,0,0,0,0
"167","Dobsonia praedatrix","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_praedatrix","Dobsonia_praedatrix",0,0,0,0,0,0
"168","Dobsonia viridis","Dobsonia","PTEROPODIDAE","Yinpterochiroptera","Dobsonia_viridis","Dobsonia_viridis",0,0,0,0,0,0
"169","Dryadonycteris capixaba","Dryadonycteris","PHYLLOSTOMIDAE","Yangochiroptera",NA,"Dryadonycteris_capixaba",0,0,0,0,0,0
"170","Dyacopterus brooksi","Dyacopterus","PTEROPODIDAE","Yinpterochiroptera","Dyacopterus_brooksi","Dyacopterus_brooksi",0,0,0,0,0,0
"171","Dyacopterus rickarti","Dyacopterus","PTEROPODIDAE","Yinpterochiroptera",NA,"Dyacopterus_rickarti",0,0,0,0,0,0
"172","Dyacopterus spadiceus","Dyacopterus","PTEROPODIDAE","Yinpterochiroptera","Dyacopterus_spadiceus","Dyacopterus_spadiceus",1,2,1,0,0,0
"173","Ectophylla alba","Ectophylla","PHYLLOSTOMIDAE","Yangochiroptera","Ectophylla_alba","Ectophylla_alba",0,0,0,0,0,0
"174","Eidolon dupreanum","Eidolon","PTEROPODIDAE","Yinpterochiroptera","Eidolon_dupreanum","Eidolon_dupreanum",7,17,1,1,1,1
"175","Eidolon helvum","Eidolon","PTEROPODIDAE","Yinpterochiroptera","Eidolon_helvum","Eidolon_helvum",19,70,1,9,9,1
"176","Emballonura alecto","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_alecto","Emballonura_alecto",0,0,0,0,0,0
"177","Emballonura atrata","Emballonura","EMBALLONURIDAE","Yangochiroptera","Emballonura_atrata","Emballonura_atrata",0,0,0,0,0,0
