Species_Name,tiplabel,gen,fam,ord,clade,higher,MSW3_sciName_matched,genes,extinct.,samp,PC,Order,Family,BM,BR,Diet,WA,LS,AspectRatio,Synurbic,UrbanStatus
Barbastella_leucomelas,Barbastella_leucomelas_VESPERTILIONIDAE_CHIROPTERA,Barbastella,VESPERTILIONIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Barbastella_leucomelas,3,0,sampled,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bauerus_dubiaquercus,Bauerus_dubiaquercus_VESPERTILIONIDAE_CHIROPTERA,Bauerus,VESPERTILIONIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Bauerus_dubiaquercus,3,0,sampled,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brachyphylla_cavernarum,Brachyphylla_cavernarum_PHYLLOSTOMIDAE_CHIROPTERA,Brachyphylla,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Brachyphylla_cavernarum,9,0,sampled,PC16_PhyllostomidRelated,Chiroptera,Phyllostomidae,46.16667,1.196,0.940448,73.44,1,6.36,0,neither
Brachyphylla_nana,Brachyphylla_nana_PHYLLOSTOMIDAE_CHIROPTERA,Brachyphylla,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Brachyphylla_nana,6,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cardioderma_cor,Cardioderma_cor_MEGADERMATIDAE_CHIROPTERA,Cardioderma,MEGADERMATIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Cardioderma_cor,1,0,sampled,PC19_Yinpterochiroptera,Chiroptera,Megadermatidae,27.84286,0.67,0,55.8,1,5.2,0,neither
Carollia_benkeithi,Carollia_benkeithi_PHYLLOSTOMIDAE_CHIROPTERA,Carollia,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,NA,1,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carollia_brevicauda,Carollia_brevicauda_PHYLLOSTOMIDAE_CHIROPTERA,Carollia,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Carollia_brevicauda,9,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carollia_castanea,Carollia_castanea_PHYLLOSTOMIDAE_CHIROPTERA,Carollia,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Carollia_castanea,8,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carollia_manu,Carollia_manu_PHYLLOSTOMIDAE_CHIROPTERA,Carollia,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,NA,4,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carollia_perspicillata,Carollia_perspicillata_PHYLLOSTOMIDAE_CHIROPTERA,Carollia,PHYLLOSTOMIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Carollia_perspicillata,11,0,sampled,PC16_PhyllostomidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
